Year,Open_first,High_max,Low_min,Close_last,Volume_sum,Daily_Return_%_mean,Daily_Return_%_std,Daily_Volatility_%_mean
1995,517.5,695.0,339.0,379.8,5128200,-0.0802,2.9434,2.402
1996,378.0,570.0,280.0,337.35,75383900,inf,,3.1317
1997,343.0,469.55,253.15,297.75,351039050,-0.0277,2.5259,3.3032
1998,297.9,324.7,91.1,163.6,515867500,-0.2303,3.4788,4.6638
1999,164.9,324.4,126.1,201.6,638760006,0.1389,3.8881,5.4121
2000,207.4,260.0,67.25,88.1,237367525,-0.2068,3.8097,5.7137
2001,88.45,114.35,57.55,99.85,286282403,0.0983,3.5754,5.2393
2002,103.0,173.4,98.05,161.4,442871008,0.2452,2.6341,3.7708
2003,160.0,459.3,147.6,452.05,895287055,0.4374,2.0949,3.4347
2004,453.25,570.3,300.0,505.25,1202948687,0.079,2.7154,4.1187
2005,509.9,665.5,400.1,653.4,523473678,0.105,2.0192,3.2437
2006,657.05,997.8,608.3,900.6,457281629,0.185,2.511,3.8691
2007,902.1,988.4,575.0,741.9,356328554,-0.0527,2.1335,3.9334
2008,742.0,824.1,124.8,159.85,306379480,-0.5447,3.9396,6.0038
2009,160.95,799.6,128.0,791.55,1200832032,0.7491,4.2275,6.198
2010,789.9,1382.0,633.75,1308.35,994305962,0.207,2.3667,3.3497
2011,1327.7,1335.0,137.55,178.7,1618474561,-0.4086,5.8323,3.649
2012,180.95,320.75,178.8,312.65,2969035601,0.2431,2.3281,3.1713
2013,316.0,405.05,251.8,376.4,2080956409,0.1004,2.2415,3.1703
2014,377.55,550.7,332.1,495.55,1343689098,0.1556,1.871,2.6835
2015,494.5,612.4,279.1,391.3,1820822538,-0.0453,2.2978,3.0602
2016,392.5,598.4,265.8,472.0,2276238116,0.102,2.5931,3.1026
2017,472.0,552.0,358.5,431.85,1737027618,-0.0304,1.797,2.3284
2018,430.95,443.5,154.65,172.7,3254903012,-0.3444,2.1934,3.0908
2019,173.5,239.35,106.0,185.15,7986080096,0.0686,3.5755,4.3189
2020,185.15,201.7,63.5,183.85,17888741751,0.0796,3.9571,4.8035
2021,184.95,536.7,184.5,482.4,14263136758,0.4354,3.1671,3.6536
2022,493.5,528.5,366.2,387.95,4647378124,-0.0493,2.2383,2.6884
2023,392.5,802.9,381.0,779.95,2993875862,0.3167,1.5265,2.0927
2024,785.0,1179.0,717.7,740.15,3167159667,-0.0043,1.8153,2.4568
2025,740.45,810.0,535.75,700.25,2161799900,-0.0113,2.02,2.5797
